"BLID";"lat";"lon";"aliasBLID1";"aliasBLID2";"locality";"region";"elevation";"country";"province";"siteType";"WLID";"distToWLID_km";"irrigated";"expt_yield_2017";"expt_restore_2018";"provincial_region";"created_at";"updated_at";"expt_yield_Lakeland"
12373;50.6574;-113.6982;0;0;"3.4 km from Mazeppa";"South Calgary";1030;"CANADA";"Alberta";"ditch";99003;12.64;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12490;50.6597;-113.3683;0;0;"4 km from Farrow";"South Calgary";955;"CANADA";"Alberta";"ditch";99004;1.99;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12504;50.694;-113.0287;0;0;"21.1 km from Mossleigh";"South Calgary";995;"CANADA";"Alberta";"ditch";99005;19.18;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12647;50.7766;-113.8366;0;0;"10.5 km from Gladys";"South Calgary";996;"CANADA";"Alberta";"ditch";99001;23.29;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12674;50.6884;-114.1753;0;0;"4 km from Black Diamond";"South Calgary";1177;"CANADA";"Alberta";"ditch";99001;2.99;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12754;50.572;-114.0012;0;0;"9.3 km from High River";"South Calgary";1103;"CANADA";"Alberta";"ditch";99002;6.93;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12826;50.6014;-113.3784;0;0;"4.9 km from Herronton";"South Calgary";998;"CANADA";"Alberta";"ditch";99004;8.19;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12898;50.601;-114.2356;0;0;"0.2 km from Hartell";"South Calgary";1228;"CANADA";"Alberta";"ditch";99001;13.55;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13001;50.572;-113.5471;0;0;"1.3 km from Eltham";"South Calgary";1023;"CANADA";"Alberta";"ditch";99003;7.01;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13210;50.7498;-113.421;0;0;"7.2 km from Farrow";"South Calgary";1003;"CANADA";"Alberta";"ditch";99004;10.0;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13212;50.6014;-113.7052;0;0;"4.9 km from Mazeppa";"South Calgary";1007;"CANADA";"Alberta";"ditch";99003;7.35;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13336;50.5992;-113.9286;0;0;"Range Rd 292, Aldersyde";"South Calgary";1056;"CANADA";"Alberta";"ditch";99002;11.48;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13357;50.7469;-113.6921;0;0;"27315 Township Rd 210, Aldersyde";"South Calgary";1072;"CANADA";"Alberta";"ditch";99003;22.23;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13358;50.6303;-114.0669;0;0;"Near Black Diamond";"South Calgary";1169;"CANADA";"Alberta";"ditch";99001;10.63;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13405;50.706;-113.8594;0;0;"378143 96 St E, Aldersyde";"South Calgary";1025;"CANADA";"Alberta";"ditch";99001;20.49;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13455;50.6886;-113.994;0;0;"Township Rd 202, Aldersyde";"South Calgary";1083;"CANADA";"Alberta";"ditch";99001;11.25;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13460;50.7155;-113.8135;0;0;"Range Rd 283, Aldersyde";"South Calgary";1107;"CANADA";"Alberta";"ditch";99003;22.12;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13751;50.6304;-113.5976;0;0;"466 Ave E, Blackie";"South Calgary";1037;"CANADA";"Alberta";"ditch";99003;9.44;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13806;50.6012;-114.0393;0;0;"AB-543, Aldersyde";"South Calgary";1128;"CANADA";"Alberta";"ditch";99002;10.36;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13825;50.6592;-114.1462;0;0;"Township Rd 200, Black Diamond";"South Calgary";1209;"CANADA";"Alberta";"ditch";99001;5.66;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13902;50.6303;-113.6598;0;0;"466 Ave E, Blackie";"South Calgary";1025;"CANADA";"Alberta";"ditch";99003;9.05;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13951;50.7178;-113.5998;0;0;"8.4 km from Gladys";"South Calgary";1063;"CANADA";"Alberta";"ditch";99004;18.42;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
14006;50.8049;-113.951;0;0;"9.1 km from Okotoks";"South Calgary";1075;"CANADA";"Alberta";"ditch";99001;17.55;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
14025;50.6597;-113.2891;0;0;"7.1 km from Mossleigh";"South Calgary";1039;"CANADA";"Alberta";"ditch";99004;4.43;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
14143;50.805;-113.8709;0;0;"11.2 km from Okotoks";"South Calgary";1035;"CANADA";"Alberta";"ditch";99001;22.32;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
14223;50.6887;-113.6479;0;0;"6 km from Gladys";"South Calgary";1070;"CANADA";"Alberta";"ditch";99003;15.45;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
14241;50.5977;-114.0941;0;0;"9.8 km from Hartell";"South Calgary";1161;"CANADA";"Alberta";"ditch";99002;11.43;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
14376;50.6304;-113.2782;0;0;"10.5 km from Mossleigh";"South Calgary";1113;"CANADA";"Alberta";"ditch";99004;6.83;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
14414;50.7607;-113.9979;0;0;"3.6 km from Okotoks";"South Calgary";1136;"CANADA";"Alberta";"ditch";99001;12.11;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
14455;50.5717;-114.1575;0;0;"6.2 km from Hartell";"South Calgary";1322;"CANADA";"Alberta";"ditch";99002;12.49;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
15117;50.6305;-113.4519;0;0;"1.2 km from Herronton";"South Calgary";1002;"CANADA";"Alberta";"ditch";99004;8.66;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
15208;50.5722;-113.4028;0;0;"6.3 km from Herronton";"South Calgary";999;"CANADA";"Alberta";"ditch";99004;11.8;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
15304;50.6306;-113.3513;0;0;"6.2 km from Herronton";"South Calgary";1031;"CANADA";"Alberta";"ditch";99004;4.67;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
15403;50.7466;-114.0408;0;0;"3.5 km from Okotoks";"South Calgary";1130;"CANADA";"Alberta";"ditch";99001;8.71;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
15716;50.7347;-113.1672;0;0;"11.2 km from Mossleigh";"South Calgary";943;"CANADA";"Alberta";"ditch";99004;14.54;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
15993;50.6888;-113.4288;0;0;"1.6 km from Farrow";"South Calgary";1024;"CANADA";"Alberta";"ditch";99004;5.94;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
16725;50.7371;-113.8596;0;0;"96 St E, Aldersyde";"South Calgary";1004;"CANADA";"Alberta";"ditch";99001;20.69;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
16943;50.6922;-113.3056;0;0;"Range Rd 245, Mossleigh";"South Calgary";967;"CANADA";"Alberta";"ditch";99004;3.74;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17041;50.7453;-113.9058;0;0;"Near Aldersyde";"South Calgary";1093;"CANADA";"Alberta";"ditch";99001;17.65;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17164;50.6234;-114.1633;0;0;"Range Rd 21, Black Diamond";"South Calgary";1240;"CANADA";"Alberta";"ditch";99001;9.69;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17198;50.572;-113.9154;0;0;"58022 530 Ave E, Aldersyde";"South Calgary";1051;"CANADA";"Alberta";"ditch";99002;9.61;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17411;50.6303;-113.8775;0;0;"Near Aldersyde";"South Calgary";1032;"CANADA";"Alberta";"ditch";99002;16.34;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17514;50.718;-113.3845;0;0;"AB-547, Mossleigh";"South Calgary";1007;"CANADA";"Alberta";"ditch";99004;5.66;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17774;50.7836;-113.4904;0;0;"Township Rd 212, Mossleigh";"South Calgary";1001;"CANADA";"Alberta";"ditch";99004;15.9;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17795;50.776;-113.6364;0;0;"AB-552, Mossleigh";"South Calgary";1041;"CANADA";"Alberta";"ditch";99004;23.33;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17823;50.6596;-113.55;0;0;"Township Rd 200, Blackie";"South Calgary";1059;"CANADA";"Alberta";"ditch";99003;13.76;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
17882;50.8055;-114.2096;0;0;"13.3 km from Black Diamond";"South Calgary";1305;"CANADA";"Alberta";"ditch";99001;11.43;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18030;50.7425;-114.2326;0;0;"6.1 km from Black Diamond";"South Calgary";1152;"CANADA";"Alberta";"ditch";99001;6.85;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18081;50.7179;-113.4647;0;0;"5.4 km from Farrow";"South Calgary";1050;"CANADA";"Alberta";"ditch";99004;9.62;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18107;50.5958;-113.7674;0;0;"5.4 km from Mazeppa";"South Calgary";1012;"CANADA";"Alberta";"ditch";99003;10.35;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18170;50.7194;-113.3289;0;0;"0.2 km from Mossleigh";"South Calgary";950;"CANADA";"Alberta";"ditch";99004;5.4;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18292;50.6596;-113.6122;0;0;"6.3 km from Blackie";"South Calgary";1054;"CANADA";"Alberta";"ditch";99003;12.36;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18302;50.5961;-113.3288;0;0;"8.4 km from Herronton";"South Calgary";1070;"CANADA";"Alberta";"ditch";99004;8.62;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18347;50.747;-113.6328;0;0;"6.8 km from Gladys";"South Calgary";1059;"CANADA";"Alberta";"ditch";99004;21.68;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18381;50.6887;-113.7825;0;0;"5.6 km from Gladys";"South Calgary";1059;"CANADA";"Alberta";"ditch";99003;18.43;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18488;50.7986;-114.1404;0;0;"12.6 km from Okotoks";"South Calgary";1227;"CANADA";"Alberta";"ditch";99001;9.89;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18536;50.8051;-114.054;0;0;"9.4 km from Okotoks";"South Calgary";1144;"CANADA";"Alberta";"ditch";99001;12.56;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
18596;50.6743;-113.9288;0;0;"3.5 km from Aldersyde";"South Calgary";1110;"CANADA";"Alberta";"ditch";99001;16.1;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
19711;50.7688;-114.2096;0;0;"9.2 km from Black Diamond";"South Calgary";1285;"CANADA";"Alberta";"ditch";99001;7.78;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
19735;50.6985;-114.1173;0;0;"8.1 km from Black Diamond";"South Calgary";1154;"CANADA";"Alberta";"ditch";99001;2.64;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
19737;50.7745;-113.8828;0;0;"8.1 km from Okotoks";"South Calgary";1077;"CANADA";"Alberta";"ditch";99001;20.15;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20006;50.6596;-113.0981;0;0;"17.3 km from Mossleigh";"South Calgary";1077;"CANADA";"Alberta";"ditch";99004;17.73;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20011;50.6302;-113.9942;10293;0;"9.6 km from Aldersyde";"South Calgary";1097;"CANADA";"Alberta";"ditch";99002;13.43;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20005;50.6308;-113.1208;11296;0;"17.5 km from Mossleigh";"South Calgary";1134;"CANADA";"Alberta";"ditch";99004;16.73;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
